Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
MYS,20,458,458,Malaysia,2,8371,6052,11579,8371,46.1,51.9,4.9
MDV,20,462,462,Maldives,2,85,64,113,85,39.8,41.8,4.2
MLI,20,466,466,Mali,2,2278,2096,2475,2278,37.7,21.3,4.0
MLT,20,470,470,Malta,2,386,306,487,386,86.3,174.5,9.3
MTQ,20,474,474,"France, Martinique",2,288,281,295,288,77.2,142.3,8.0
MRT,20,478,478,Mauritania,2,600,389,926,600,34.5,24.6,3.6
MUS,20,480,480,Mauritius,2,537,461,626,537,52.7,83.0,5.7
MEX,20,484,484,Mexico,2,31043,25472,37832,31043,39.9,46.2,4.3
MNG,20,496,496,Mongolia,2,227,176,293,227,12.6,13.2,1.4
MDA,20,498,498,Republic of Moldova,2,1620,1421,1847,1620,46.6,77.4,5.3
MNE,20,499,499,Montenegro,2,416,327,530,416,76.5,131.1,8.4
MAR,20,504,504,Morocco,2,12756,12296,13234,12756,58.4,67.1,6.1
MOZ,20,508,508,Mozambique,2,2048,1864,2250,2048,19.7,12.1,2.0
OMN,20,512,512,Oman,2,549,465,648,549,34.0,30.2,3.5
NAM,20,516,516,Namibia,2,553,471,649,553,53.9,40.8,5.7
NPL,20,524,524,Nepal,2,2255,2245,2265,2255,14.4,13.9,1.5
NLD,20,528,528,The Netherlands,2,15919,15378,16478,15919,101.6,184.4,10.8
NCL,20,540,540,New Caledonia,2,176,173,180,176,90.2,121.5,9.6
VUT,20,548,548,Vanuatu,2,37,32,43,37,29.6,23.3,3.1
NZL,20,554,554,New Zealand,2,3855,3590,4139,3855,94.4,154.8,10.0
NIC,20,558,558,Nicaragua,2,1209,609,2400,1209,35.3,35.2,3.9
NER,20,562,562,Niger,2,2145,1927,2387,2145,29.5,16.6,2.9
NGA,20,566,566,Nigeria,2,32278,31534,33040,32278,51.5,30.2,5.5
NOR,20,578,578,Norway,2,4480,4261,4710,4480,95.6,164.6,10.4
