Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
RUS,20,643,643,Russian Federation,2,22115,21502,22745,22115,13.6,28.3,1.6
RWA,20,646,646,Rwanda,2,401,371,433,401,8.4,5.8,0.90
LCA,20,662,662,Saint Lucia,2,23,10,55,23,16.4,24.5,1.7
STP,20,678,678,Sao Tome and Principe,2,7,7,7,7,9.6,6.2,1.3
SAU,20,682,682,Saudi Arabia,2,1046,1023,1069,1046,7.6,6.9,0.82
SEN,20,686,686,Senegal,2,976,807,1181,976,16.4,10.8,1.8
SRB,20,688,688,Serbia,2,1845,1708,1992,1845,18.5,41.8,2.1
SLE,20,694,694,Sierra Leone,2,118,112,124,118,4.2,2.8,0.45
SGP,20,702,702,Singapore,2,984,827,1171,984,17.8,34.7,2.0
SVK,20,703,703,Slovakia,2,1241,1110,1388,1241,18.1,44.3,2.0
VNM,20,704,704,Viet Nam,2,10008,9884,10134,10008,14.7,20.2,1.6
SVN,20,705,705,Slovenia,2,470,397,556,470,15.0,45.1,1.6
SOM,20,706,706,Somalia,2,1165,1063,1277,1165,25.7,13.8,2.8
ZAF,20,710,710,South Africa,2,5232,4965,5514,5232,17.0,17.0,1.6
ZWE,20,716,716,Zimbabwe,2,915,864,969,915,18.6,11.4,2.1
ESP,20,724,724,Spain,2,6747,6490,7014,6747,10.6,28.4,1.1
SSD,20,728,728,South Sudan,2,657,574,752,657,17.6,11.3,1.9
SDN,20,729,729,Sudan,2,3243,3147,3342,3243,20.7,14.1,2.1
SUR,20,740,740,Suriname,2,53,29,97,53,14.4,17.8,1.5
SWZ,20,748,748,Eswatini,2,47,38,58,47,11.3,7.8,1.1
SWE,20,752,752,Sweden,2,1535,1402,1680,1535,11.9,30.1,1.3
CHE,20,756,756,Switzerland,2,1541,1394,1703,1541,12.4,34.9,1.3
SYR,20,760,760,Syrian Arab Republic,2,1781,1622,1955,1781,20.9,18.4,2.3
TJK,20,762,762,Tajikistan,2,283,233,344,283,7.4,5.7,0.81
THA,20,764,764,Thailand,2,7599,7505,7695,7599,11.8,21.1,1.3
TGO,20,768,768,Togo,2,524,481,571,524,18.1,12.0,2.0
TTO,20,780,780,Trinidad and Tobago,2,255,197,330,255,22.1,35.8,2.3
ARE,20,784,784,United Arab Emirates,2,253,245,261,253,15.9,8.0,1.7
TUN,20,788,788,Tunisia,2,901,881,922,901,10.9,14.8,1.1
TUR,20,792,792,Türkiye,2,7360,6946,7799,7360,12.5,17.0,1.3
TKM,20,795,795,Turkmenistan,2,485,254,925,485,15.6,15.4,1.7
UGA,20,800,800,Uganda,2,1560,1489,1635,1560,12.6,6.4,1.4
UKR,20,804,804,Ukraine,2,6613,6171,7087,6613,13.2,28.5,1.6
MKD,20,807,807,North Macedonia,2,379,281,511,379,19.5,36.4,2.2
EGY,20,818,818,Egypt,2,9596,9464,9730,9596,19.9,18.3,2.1
GBR,20,826,826,United Kingdom,2,12122,11723,12534,12122,14.0,35.0,1.5
TZA,20,834,834,"Tanzania, United Republic of",2,2255,2151,2364,2255,12.9,7.1,1.5
USA,20,840,840,United States of America,2,42900,42296,43513,42900,12.2,25.4,1.3
BFA,20,854,854,Burkina Faso,2,818,799,837,818,13.2,7.4,1.5
URY,20,858,858,Uruguay,2,777,677,892,777,21.6,43.0,2.4
